Datetime,Temperature (°C),Atmospheric Pressure (kPa),Precipitation mm/h,Solar Radiation (W/m2),Vapor Pressure (kPa),Humidity (%),Wind Direction (°),Wind Speed (m/s),Hour,Day,Month
2020-12-25 06:00:00+00:00,20.95,100.69166666666666,0.0,207.83333333333334,1.8283333333333334,73.56666666666666,145.70000000000002,2.86,6,25,12
2020-12-25 07:00:00+00:00,20.866666666666667,100.73,0.0,210.83333333333334,1.8216666666666665,74.01666666666667,147.43333333333334,2.7916666666666665,7,25,12
2020-12-25 08:00:00+00:00,20.366666666666667,100.79833333333333,0.0,58.0,1.7866666666666668,74.76666666666667,127.48333333333333,2.2266666666666666,8,25,12
2020-12-25 09:00:00+00:00,20.066666666666666,100.85000000000001,0.0,0.5,1.8,76.76666666666667,125.81666666666666,2.09,9,25,12
2020-12-25 10:00:00+00:00,19.816666666666666,100.86833333333334,0.0,0.0,1.7966666666666669,77.7,126.11666666666667,1.735,10,25,12
2020-12-25 11:00:00+00:00,19.933333333333334,100.88833333333334,0.0,0.0,1.8250000000000002,78.5,126.81666666666666,1.72,11,25,12
2020-12-25 12:00:00+00:00,20.233333333333334,100.87166666666667,0.0,0.0,1.7933333333333332,75.60000000000001,115.55,1.8949999999999998,12,25,12
2020-12-25 13:00:00+00:00,19.983333333333334,100.82499999999999,0.306,0.0,1.8316666666666668,78.58333333333333,113.3,1.5683333333333334,13,25,12
2020-12-25 14:00:00+00:00,19.6,100.77166666666666,0.0,0.0,1.8550000000000002,81.43333333333334,114.53333333333335,1.115,14,25,12
2020-12-25 15:00:00+00:00,19.7,100.72833333333334,0.0,0.0,1.835,80.11666666666666,112.91666666666667,1.2533333333333332,15,25,12
2020-12-25 16:00:00+00:00,19.900000000000002,100.69166666666666,0.0,0.0,1.8016666666666667,77.61666666666666,111.66666666666667,1.5199999999999998,16,25,12
2020-12-25 17:00:00+00:00,19.916666666666668,100.68,0.0,0.0,1.795,77.23333333333333,109.31666666666666,1.4033333333333333,17,25,12
2020-12-25 18:00:00+00:00,19.433333333333334,100.69833333333334,0.0,0.5,1.8633333333333333,82.7,112.45,1.67,18,25,12
2020-12-25 19:00:00+00:00,19.233333333333334,100.74333333333334,0.0,18.666666666666668,1.8966666666666665,85.08333333333333,100.26666666666667,1.0716666666666665,19,25,12
2020-12-25 20:00:00+00:00,19.25,100.79166666666667,0.0,46.833333333333336,1.9349999999999998,86.88333333333333,89.68333333333334,0.8866666666666667,20,25,12
2020-12-25 21:00:00+00:00,19.583333333333332,100.82333333333334,0.017,131.83333333333334,2.0,87.71666666666665,107.43333333333334,0.85,21,25,12
2020-12-25 22:00:00+00:00,21.283333333333335,100.81166666666667,0.0,472.0,1.9866666666666666,78.66666666666667,116.73333333333333,1.7383333333333333,22,25,12
2020-12-25 23:00:00+00:00,22.416666666666668,100.79333333333334,0.0,702.8333333333334,1.8916666666666666,69.58333333333333,114.7,3.3633333333333333,23,25,12
2020-12-26 00:00:00+00:00,22.599999999999998,100.77666666666669,0.0,703.3333333333334,1.8116666666666668,65.93333333333334,112.48333333333333,3.186666666666667,0,26,12
2020-12-26 01:00:00+00:00,22.933333333333334,100.71333333333332,0.0,916.8333333333334,1.8283333333333334,65.61666666666666,113.98333333333333,4.005,1,26,12
2020-12-26 02:00:00+00:00,23.2,100.625,0.0,1031.3333333333333,1.8083333333333333,63.61666666666667,112.06666666666666,3.935,2,26,12
2020-12-26 03:00:00+00:00,23.28333333333333,100.55833333333334,0.0,964.0,1.8099999999999998,63.31666666666666,114.14999999999999,4.116666666666666,3,26,12
